urun_adi,stok_miktari,yil_ici_alinan,yil_icinde_kullanilan,gecen_yil_kullanilan,birim_maliyet,siparis_miktari
dis_lastik_175/65_r14,43,0,4,24,16239,30
dis_lastik_195/65_r15,55,0,12,83,8127,50
dis_lastik_185/65_r15_yoltipi,4,0,0,16,9687,8
dis_lastik_195/75_r16_yoltipi,16,0,2,22,11419,30
dis_lastik_195/55_r16_yoltipi,94,0,17,138,14695,76
dis_lastik_11r_22.5,6,0,2,16,12854,10
dis_lastik_215/75_r17.5_yoltipi,28,0,12,12,61251,100
dis_lastik_215/75_r16_yoltipi,6,0,26,64,9544,100
dis_lastik_235/75_r17.5_yoltipi,42,0,24,98,20485,10
dis_lastik_315/80_r22.5_yoltipi_hafriyat,31,0,20,51,4499,30
dis_lastik_315/80_r22.5_kartipi_hafriyat,41,0,24,116,2780,50
dis_lastik_245/70_r17.5_kartipi,16,0,0,8,4130,10
dis_lastik_265/70_r17.5_yoltipi,0,0,4,12,8177,10
dis_lastik_r25,0,0,2,4,2061,4
dis_lastik_14.24tg,18,0,12,0,11080,15
dis_lastik_215/65_r16_kartipi,0,0,0,0,2383,30
dis_lastik_r22.5_kartipi,0,0,0,28,1803,30
dis_lastik_395x85_r20_arazitipi,0,0,0,0,4573,20
aku_12v_225,31,0,24,47,8163.10,40
aku_12v_72,153,0,171,302,2717.28,200
aku_12v_135,1,0,46,103,5017.38,150
aku_12v_180,68,0,80,191,6392.93,150
aku_12v_150,33,0,18,49,5366.90,100
aku_12v_100,31,70,39,0,3564.19,50
aku_12v_105,82,160,78,0,3630.62,150
aku_12v_225,33,52,19,0,7245.65,50
aku_12v_45,42,51,9,0,1711.74,50
aku_12v_60,18,70,52,0,4400,50
aku_12v_80,12,0,0,17,5362.43,100
aku_12v_180,76,189,113,0,5627.66,150
civata,70,113,43,37,2000,100
antrifriz,13,106,93,100,5000,100
fren_balatası,23,55,32,80,2250,75
ABS,14,68,54,21,2000,50
diferansiyel_,11,37,26,74,6150,80
aks_milleri,9,32,23,35,4109,60
klima_kompresörü,4,26,22,45,9000,60
yag_filtresi,7,37,30,53,4500,50
termostat_,2,44,42,21,11263,40
mars_motoru,0,13,13,55,17458,40
